"x"
"6"
"行区分="
"区分="
"種類="
"銘柄="
"期末現在高.数量="
"帳簿価額="
"時価及び帳簿価額="
"元号="
"年="
"月="
"日="
"異動事由="
"数量="
"金額="
"証券会社="
"住所="
"摘要="
